OBJECTID,BSM,YSDM,DLBM,DLMC,QSDWDM,QSDWMC,QSXZ,ZLTBBH,MJ,ZLDWDM,ZLDWMC,GDLX,GDPDJ,DLBZ,X,Y
87,232196,2001030100,118,水工建筑用地,530702202207,龙潭村民委员会,30,571,66,530702202207,龙潭村民委员会,,,,100.3233115,26.7380921
88,232197,2001030100,118,水工建筑用地,530702202207,龙潭村民委员会,30,587,66,530702202207,龙潭村民委员会,,,,100.3210663,26.73596477
89,232198,2001030100,118,水工建筑用地,530702202207,龙潭村民委员会,30,594,66,530702202207,龙潭村民委员会,,,,100.3233802,26.73187134
90,232199,2001030100,118,水工建筑用地,530702202207,龙潭村民委员会,30,347,66,530702202207,龙潭村民委员会,,,,100.3377474,26.74896473
91,232200,2001030100,118,水工建筑用地,530702202207,龙潭村民委员会,30,387,66,530702202207,龙潭村民委员会,,,,100.3419321,26.74707181
92,232201,2001030100,118,水工建筑用地,530702202207,龙潭村民委员会,30,387,66,530702202207,龙潭村民委员会,,,,100.341961,26.74686093
93,232202,2001030100,118,水工建筑用地,530702202207,龙潭村民委员会,30,447,66,530702202207,龙潭村民委员会,,,,100.3422912,26.74302466
94,232203,2001030100,118,水工建筑用地,530702202207,龙潭村民委员会,30,523,66,530702202207,龙潭村民委员会,,,,100.3218262,26.74028878
95,232204,2001030100,118,水工建筑用地,530702202206,忠义村民委员会,30,125,100,530702202206,忠义村民委员会,,,,100.3335959,26.72960718
96,232205,2001030100,118,水工建筑用地,530702202206,忠义村民委员会,30,128,40,530702202206,忠义村民委员会,,,,100.3353396,26.72965883
97,232206,2001030100,118,水工建筑用地,530702202206,忠义村民委员会,30,153,40,530702202206,忠义村民委员会,,,,100.337454,26.73008126
98,232207,2001030100,118,水工建筑用地,530702202206,忠义村民委员会,30,98,40,530702202206,忠义村民委员会,,,,100.3370642,26.73130988
99,232208,2001030100,118,水工建筑用地,530702202206,忠义村民委员会,30,98,100,530702202206,忠义村民委员会,,,,100.3382059,26.73173011
100,232209,2001030100,118,水工建筑用地,530702202206,忠义村民委员会,30,225,30,530702202206,忠义村民委员会,,,,100.3360559,26.72325971
101,232210,2001030100,118,水工建筑用地,530702202206,忠义村民委员会,30,281,30,530702202206,忠义村民委员会,,,,100.3345375,26.72116293
102,232211,2001030100,118,水工建筑用地,530702202206,忠义村民委员会,30,204,30,530702202206,忠义村民委员会,,,,100.3335861,26.72436807
103,232212,2001030100,118,水工建筑用地,530702202206,忠义村民委员会,30,286,25,530702202206,忠义村民委员会,,,,100.33903,26.72019333
104,231934,2001030100,205,风景名胜及特殊用地,530702205203,江边村民委员会,30,389,15,530702205203,江边村民委员会,,,,100.4036404,26.58328097
105,231938,2001030100,118,水工建筑用地,530702205204,金江村民委员会,30,346,4,530702205204,金江村民委员会,,,,100.4027802,26.64567035
106,231939,2001030100,118,水工建筑用地,530702205201,产构村民委员会,30,63,9,530702205201,产构村民委员会,,,,100.331069,26.64489394
107,231940,2001030100,118,水工建筑用地,530702205201,产构村民委员会,30,48,9,530702205201,产构村民委员会,,,,100.3307953,26.64460974
108,231941,2001030100,118,水工建筑用地,530702205201,产构村民委员会,30,41,16,530702205201,产构村民委员会,,,,100.3290759,26.64356177
109,231942,2001030100,118,水工建筑用地,530702205205,普勤村民委员会,30,139,40,530702205205,普勤村民委员会,,,,100.3743165,26.67007761
110,231943,2001030100,118,水工建筑用地,530702004204,开文社区居委会,30,101,33,530702004204,开文社区居委会,,,,100.3019035,27.01145128
111,231944,2001030100,118,水工建筑用地,530702004204,开文社区居委会,30,101,20,530702004204,开文社区居委会,,,,100.3037271,27.01176667
112,232085,2001030100,203,村庄,530702201207,光乐村民委员会,30,391,30,530702201207,,,,,100.3417336,26.8136729
113,232168,2001030100,205,风景名胜及特殊用地,530702202201,共和村民委员会,30,1743,20,530702202201,,,,,100.2610335,26.73355532
114,232162,2001030100,118,水工建筑用地,530702202203,七河村民委员会,30,840,20,530702202203,,,,,100.2581247,26.71725686
115,231894,2001030100,203,村庄,530702203201,大东村民委员会,30,76,7,530702203201,大东村民委员会,,,,100.4228038,27.16715589
116,231895,2001030100,118,水工建筑用地,530702203201,大东村民委员会,30,43,67,530702203201,大东村民委员会,,,,100.4240311,27.16757956
117,231897,2001030100,114,坑塘水面,530702203203,白水村民委员会,30,921,7,530702203203,白水村民委员会,,,,100.4285439,27.17540077
118,231898,2001030100,118,水工建筑用地,530702203203,白水村民委员会,30,558,7,530702203203,白水村民委员会,,,,100.4284118,27.1868515
119,231899,2001030100,118,水工建筑用地,530702203203,白水村民委员会,30,560,7,530702203203,白水村民委员会,,,,100.4124222,27.18647182
120,231900,2001030100,118,水工建筑用地,530702203203,白水村民委员会,30,395,7,530702203203,白水村民委员会,,,,100.4074849,27.19139649
121,231902,2001030100,118,水工建筑用地,530702203202,建新村民委员会,30,253,7,530702203202,建新村民委员会,,,,100.4183369,27.10938762
122,231904,2001030100,203,村庄,530702203202,建新村民委员会,30,1210,13,530702203202,建新村民委员会,,,,100.4134655,27.05158336
123,231905,2001030100,118,水工建筑用地,530702203202,建新村民委员会,30,1223,13,530702203202,建新村民委员会,,,,100.4135351,27.05072357
124,231906,2001030100,118,水工建筑用地,530702203202,建新村民委员会,30,1013,7,530702203202,建新村民委员会,,,,100.4376514,27.07232224
125,232272,2001030100,202,建制镇,530702006201,开南街道办事处漾西社区居委会,10,2969,320,530702006201,,,,,100.2736902,26.79416832
126,232273,2001030100,202,建制镇,530702006201,开南街道办事处漾西社区居委会,10,2830,320,530702006201,,,,,100.2714815,26.79629247
